ID,FEN,Expected,EngineMove,Correct,Depth,Time(ms),Nodes,NPS
 1RIIp,"8/8/8/6p1/4kp2/6PP/4KP2/8 b - - 0 53",f2g3,f2g3,YES,14,572,440542,770178
 0Mfwh,"2r5/4Q2p/3R1ppk/5b2/2P2P2/P6P/1b3qP1/4RB1K w - - 3 45",b2d4,b2d4,YES,7,3287,1392033,423496
 2FBVz,"4r3/5p2/2kP2p1/2p5/1p2R3/4K3/P1P2P1P/8 b - - 0 32",e3e4,e3e4,YES,11,772,425966,551769
 K8Kh1,"r5r1/pp1Q4/4Nkp1/2bP1p1p/1q6/1PN2R2/P1n3PP/7K b - - 12 33",d5d6,d5d6,YES,7,5781,2431616,420622
 RpeuX,"6k1/p7/5p2/2Rp1P2/r7/2P1K3/8/8 b - - 2 41",c5c4,c5c4,YES,11,651,449889,691073
 5mHqJ,"8/8/PP5p/8/2pk4/4pK2/1r3p1P/R7 b - - 1 45",a6a7,b6b7,NO,8,715,333455,466370
 FGpCb,"1kb5/8/PP1P1p2/2K5/5ppp/8/6PP/8 b - - 0 44",b6b7,b6b7,YES,11,827,449278,543262
 G5jde,"8/1p3p1p/2p2P1k/p3Pqp1/7P/4QBP1/b6K/8 b - - 2 36",g3g4,g3g4,YES,7,602,283874,471551
 OUrMZ,"8/6p1/7p/8/1p3PP1/1k6/7P/1K6 w - - 4 36",b3c4,b3c4,YES,14,591,418040,707343
 C2EKq,"8/5p2/1k2p3/2p1P3/2P1P3/2b1B2K/8/8 w - - 3 46",b6a5,b6a5,YES,11,522,357663,685178
 FwjMw,"4r1k1/pRb1rpp1/2q4p/8/P2p2Q1/P1pB2PP/2P2P1K/1R6 b - - 2 33",b1e1,b1e1,YES,7,4001,1769682,442309
 NTVV2,"4r1k1/5qp1/3R4/p1P3p1/3P1pn1/P2Q2P1/3BrP1P/5RK1 w - - 4 30",f7h5,f7h5,YES,7,7268,2719689,374200
 NEYzc,"8/6P1/p4K2/1p1bp1Bk/5P2/P7/8/8 b - - 0 56",f4f5,f4f5,YES,11,882,487511,552733
 PqNwC,"8/8/p1p3pp/1p1k4/4PPP1/1P3K1P/8/8 b - - 0 33",b3b4,b3b4,YES,13,926,597644,645403
 P03Bu,"3kr3/p7/P1Q4P/2KP4/1P2r3/2P5/8/8 w - - 1 51",e8e5,e8e5,YES,9,599,342819,572318
 TRXKr,"8/2p5/p7/8/1PP3p1/P4k2/8/6K1 b - - 0 45",a3a4,a3a4,YES,15,517,434810,841025
 9q4Lb,"4K3/3P4/6pk/8/5q2/8/7p/4Q3 b - - 1 83",e1e5,e1e5,YES,8,610,337987,554077
 5WAdg,"5rk1/1b3pp1/2p1p2p/1pq1PP1P/rP4Q1/3B4/6P1/3RR2K b - - 1 30",d3e4,d3e4,YES,7,1790,772890,431782
