ID,FEN,Expected,EngineMove,Correct,Depth,Time(ms),Nodes,NPS
 2MhA7,"8/8/1pp1k2p/p3p1p1/P1K1P1P1/2P4P/1P6/8 b - - 0 44",b2b4,b2b3,NO,15,604,395949,655544
 H7iOz,"8/5p1p/4p1p1/3k4/3P4/3K1P2/5P1P/8 w - - 3 31",g6g5,g6g5,YES,15,1048,721561,688512
 4vCsR,"rn3rk1/4pp1p/b2p2p1/2pP4/6P1/3B1N1P/qB1Q1P2/R5K1 b - - 1 18",d2h6,d2h6,YES,5,1059,402279,379866
 7CJxy,"7k/6p1/3p3p/p7/Pq3P1P/6P1/2Q4K/8 b - - 4 38",c2c5,c2c5,YES,10,1267,787062,621201
 39a5X,"6k1/5pp1/4p1bp/r3P3/P7/1Q5P/6P1/7K b - - 0 32",b3b8,b3b8,YES,7,843,439637,521514
 9D9WP,"2kr2nr/ppp4p/8/2n1Ppp1/B1N1p1b1/2P1K3/PP3PPP/R1B4R w - - 2 15",f5f4,f5f4,YES,2,6,2170,361666
 FnH6X,"5r2/1p2p1bk/1q4p1/p2pPrPp/1p1P1N1P/P1PQ4/1P1K4/1R3R2 w - - 6 27",f5f4,f5f4,YES,5,742,284990,384083
 GYg7E,"2r3k1/2r2p2/p3p1p1/4P1Pp/3B1P1P/8/PP3Q2/1KqR4 w - - 3 33",c7c1,c7c1,YES,2,5,1901,380200
 T4R6D,"2b3k1/7p/p6r/1p1N2p1/3Pnp2/1P3N2/6P1/6QK w - - 4 44",e4g3,e4g3,YES,2,5,1660,332000
 7RejO,"r4rk1/5ppp/1pn5/2p2b2/1pP1N3/3P4/1PNQ2PP/q1KR1B1R w - - 4 23",a8a1,a8a1,YES,4,192,61767,321703
 BEf9A,"7k/R5p1/5b1p/8/P6B/5Q1P/2qr1PPK/8 b - - 2 33",f3f8,f3f8,YES,4,114,44570,390964
 BroyA,"3r4/pb1n2Rp/1p2p3/3k1p1N/5B2/8/3K1P1P/8 w - - 0 28",d8d7,d8d7,YES,10,784,400073,510297
 DbrNr,"3r1k1r/p2B1ppp/8/8/4Q3/P3K3/1q3PPP/2R4R b - - 0 19",c1c8,c1c8,YES,4,128,52250,408203
 HsK5h,"r1bqk1nr/pp3pbp/3p2p1/2pPp3/2PnP3/2N1B3/PP2NPPP/R2QKB1R w KQkq c6 0 8",d4f3,d4f3,YES,2,12,4059,338250
 UYa3s,"r1bq2kr/ppp3pp/2n5/6N1/2Qp1bn1/8/PPP2PPP/RN3RK1 b - - 1 12",c4f7,c4f7,YES,2,9,3400,377777
 QTbTv,"2q2rk1/rpp2pp1/p4n1p/4N3/PPB1Pn2/2P2Q2/5PbK/RN3R2 w - - 0 19",c8h3,c8h3,YES,4,208,71688,344653
 1otSg,"7k/5R1p/p3N1p1/3K2P1/4P3/2r2n2/8/8 b - - 7 43",f7f8,f7f8,YES,2,2,1025,512500
 A6Awv,"r4b2/3R1Bpk/8/2p2R2/1p2nN1p/1Pq3rP/2P3P1/5QK1 b - - 0 38",f5h5,f5h5,YES,2,12,4106,342166
 H9hue,"8/8/2p1k3/1p6/p2PK3/P1P5/8/8 w - - 3 43",e6d5,e6d5,YES,16,626,526332,840785
 JNiAa,"8/8/p7/1B6/7P/2k1p3/8/4K3 b - - 0 51",h4h5,h4h5,YES,16,407,341554,839199
 KckyK,"7r/pp3R2/2pbk3/6pp/2PPp1n1/BP2P3/P5K1/5R2 w - - 2 34",g4e3,g4e3,YES,7,628,298485,475294
 SkFQ7,"8/ppr2k1p/2n2p2/3ppnP1/3P4/PP1K1P2/3NN2P/2R5 w - - 3 28",c6e5,c6e5,YES,2,7,2548,364000
 3LTFH,"r2qr1k1/p4ppp/1p1p4/2pP2n1/8/1P2PPP1/P1Q3NP/3RR1K1 w - - 1 21",g5h3,g5h3,YES,6,819,324914,396720
 Dywrn,"2rr4/p4p1k/1p2p1pp/4Bn2/3P4/1P3P1P/1P4P1/2R2RK1 b - - 4 28",c1c8,c1c8,YES,7,1186,555669,468523
 FUylD,"3r2rk/pp3ppp/1qp1p3/2b1P3/5P1R/2P1B2P/PP2QP1K/R7 b - - 12 24",h4h7,h4h7,YES,4,106,40037,377707
 36kW1,"1r5r/p1b1Q1p1/2p4p/3q1k2/3pN1PP/3P3N/3K4/8 b - - 0 32",h4h5,h4h5,YES,6,1023,439939,430047
 ALYJ5,"r2qkbnr/1p1npppp/p1p5/8/4N3/3PQ2P/PPP2PP1/R1B1KB1R b KQkq - 2 8",e4d6,e4d6,YES,2,7,2548,364000
 FDxA2,"1nb4r/r4pk1/2p3p1/pp1Pq3/3p1N1P/PB1P1RQ1/1PP3P1/6K1 b - - 0 25",f4e6,f4e6,YES,6,1721,602583,350135
 FIcN6,"r2q1rk1/pp2bppp/5n2/3pn3/2B5/2N1B3/PP2QPPP/R4RK1 w - - 0 14",f6d5,f6d5,YES,5,618,260765,421949
 QjxiM,"5r2/ppr1pk2/7b/q2bPp1Q/3P1P1N/4B3/P5PK/1R6 b - - 1 26",h5h6,h5h6,YES,6,1232,470343,381771
 38xQf,"r2qk1nr/ppp2ppp/3p2b1/2b1n3/2B1P1P1/2N2N1P/PPPP4/R1BQK2R w KQkq - 0 9",d8h4,d8h4,YES,6,1158,465429,401924
 C03VY,"3r2k1/3r1p1p/pp4p1/2p2p2/P1PNb3/4PPP1/2P1K2P/2RR4 b - - 0 23",d4f3,d4f3,YES,9,806,381684,473553
 CkfBS,"8/8/p7/5Bk1/P2q2P1/1P4Q1/5PK1/4r3 w - - 0 44",d4d5,d4d5,YES,7,956,484369,506662
 JtyJy,"r7/p5pp/1pPq2k1/7b/3p2n1/1QN1P3/PP3PPP/R4RK1 w - - 1 19",d4d3,d4d3,YES,9,1746,727767,416819
 KPMTE,"6k1/1pp2ppp/1p1p4/1r1P4/1P3P2/P5P1/4r1P1/1R1R3K b - - 0 25",a3a4,a3a4,YES,7,803,335130,417347
 NYlZC,"r2qk2r/pp3ppp/4p1n1/3pPP2/1b1Pb1P1/2N2N1P/PP6/R2QKB1R b KQkq - 2 13",d1a4,d1a4,YES,5,796,284878,357886
 1jtmi,"1b1r1nk1/1Q3pp1/2N1p1qp/4P3/2p5/1p2B3/6PP/5RK1 b - - 7 40",c6e7,c6e7,YES,5,877,341380,389258
 6xDzq,"r4qk1/pp4pp/3p2b1/3P4/PP5Q/5p2/5PPP/3R1R1K w - - 0 26",f8f3,f8f3,YES,6,768,337336,439239
 GbPVg,"8/5kp1/1p3p2/4pP1p/2P4P/pP1K1P2/Pr2R3/8 b - - 3 44",e2b2,e2b2,YES,10,840,443351,527798
